fecha_administracion;grupo_etario;genero;vacuna;tipo_efector;dosis_1;dosis_2;id_carga;dosis_3
2020-12-29;61 a 70;M;Sputnik;Publico;1;0;;0
2020-12-29;51 a 60;M;Sputnik;Publico;49;0;;0
2020-12-29;51 a 60;F;Sputnik;Publico;82;0;;0
2020-12-29;41 a 50;M;Sputnik;Publico;79;0;;0
2020-12-29;41 a 50;F;Sputnik;Publico;132;0;;0
2020-12-29;31 a 40;M;Sputnik;Publico;91;0;;0
2020-12-29;31 a 40;F;Sputnik;Publico;125;0;;0
2020-12-29;30 o menos;M;Sputnik;Publico;38;0;;0
2020-12-29;30 o menos;F;Sputnik;Publico;68;0;;0
2020-12-29;61 a 70;F;Sputnik;Publico;2;0;;0
2020-12-30;30 o menos;F;Sputnik;Publico;94;0;;0
2020-12-30;31 a 40;F;Sputnik;Publico;138;0;;0
2020-12-30;31 a 40;M;Sputnik;Publico;104;0;;0
2020-12-30;41 a 50;F;Sputnik;Publico;149;0;;0
2020-12-30;30 o menos;M;Sputnik;Publico;45;0;;0
2020-12-30;51 a 60;M;Sputnik;Publico;56;0;;0
2020-12-30;61 a 70;F;Sputnik;Publico;1;0;;0
2020-12-30;61 a 70;M;Sputnik;Publico;2;0;;0
2020-12-30;51 a 60;F;Sputnik;Publico;91;0;;0
2020-12-30;41 a 50;M;Sputnik;Publico;87;0;;0
2020-12-31;30 o menos;F;Sputnik;Publico;3;0;;0
2020-12-31;30 o menos;M;Sputnik;Publico;7;0;;0
2020-12-31;31 a 40;F;Sputnik;Publico;15;0;;0
2020-12-31;61 a 70;F;Sputnik;Publico;1;0;;0
2020-12-31;51 a 60;M;Sputnik;Publico;6;0;;0
2020-12-31;51 a 60;F;Sputnik;Publico;7;0;;0
2020-12-31;41 a 50;M;Sputnik;Publico;12;0;;0
2020-12-31;41 a 50;F;Sputnik;Publico;14;0;;0
2020-12-31;31 a 40;M;Sputnik;Publico;12;0;;0
2021-01-01;31 a 40;F;Sputnik;Publico;1;0;;0
2021-01-01;61 a 70;M;Sputnik;Publico;1;0;;0
2021-01-02;51 a 60;M;Sputnik;Publico;23;0;;0
2021-01-02;51 a 60;F;Sputnik;Publico;51;0;;0
2021-01-02;61 a 70;F;Sputnik;Publico;1;0;;0
2021-01-02;61 a 70;M;Sputnik;Publico;1;0;;0
2021-01-02;31 a 40;M;Sputnik;Publico;54;0;;0
2021-01-02;30 o menos;F;Sputnik;Publico;28;0;;0
2021-01-02;31 a 40;F;Sputnik;Publico;94;0;;0
2021-01-02;41 a 50;M;Sputnik;Publico;47;0;;0
2021-01-02;30 o menos;M;Sputnik;Publico;14;0;;0
2021-01-02;91 o mas;F;Sputnik;Publico;1;0;;0
2021-01-02;41 a 50;F;Sputnik;Publico;66;0;;0
2021-01-03;51 a 60;M;Sputnik;Publico;8;0;;0
2021-01-03;51 a 60;F;Sputnik;Publico;16;0;;0
2021-01-03;41 a 50;M;Sputnik;Publico;11;0;;0
2021-01-03;41 a 50;F;Sputnik;Publico;28;0;;0
2021-01-03;31 a 40;M;Sputnik;Publico;22;0;;0
2021-01-03;31 a 40;F;Sputnik;Publico;40;0;;0
2021-01-03;30 o menos;F;Sputnik;Publico;14;0;;0
2021-01-03;30 o menos;M;Sputnik;Publico;8;0;;0
2021-01-04;31 a 40;F;Sputnik;Publico nacional;9;0;;0
2021-01-04;31 a 40;M;Sputnik;Privado;9;0;;0
2021-01-04;31 a 40;M;Sputnik;Publico;86;0;;0
2021-01-04;31 a 40;F;Sputnik;Publico;163;0;;0
2021-01-04;31 a 40;F;Sputnik;Privado;15;0;;0
2021-01-04;31 a 40;M;Sputnik;Publico nacional;5;0;;0
2021-01-04;30 o menos;M;Sputnik;Publico;50;0;;0
2021-01-04;30 o menos;M;Sputnik;Privado;6;0;;0
2021-01-04;30 o menos;F;Sputnik;Publico nacional;4;0;;0
2021-01-04;30 o menos;F;Sputnik;Publico;77;0;;0
2021-01-04;30 o menos;F;Sputnik;Privado;10;0;;0
2021-01-04;30 o menos;M;Sputnik;Publico nacional;1;0;;0
2021-01-04;71 a 80;F;Sputnik;Publico;1;0;;0
2021-01-04;41 a 50;F;Sputnik;Privado;10;0;;0
2021-01-04;51 a 60;M;Sputnik;Publico;64;0;;0
2021-01-04;41 a 50;F;Sputnik;Publico;140;0;;0
2021-01-04;41 a 50;F;Sputnik;Publico nacional;3;0;;0
2021-01-04;41 a 50;M;Sputnik;Privado;4;0;;0
2021-01-04;41 a 50;M;Sputnik;Publico;83;0;;0
2021-01-04;41 a 50;M;Sputnik;Publico nacional;5;0;;0
2021-01-04;51 a 60;F;Sputnik;Privado;4;0;;0
2021-01-04;51 a 60;F;Sputnik;Publico;85;0;;0
2021-01-04;51 a 60;F;Sputnik;Publico nacional;2;0;;0
2021-01-04;51 a 60;M;Sputnik;Privado;2;0;;0
2021-01-04;51 a 60;M;Sputnik;Publico nacional;1;0;;0
2021-01-04;61 a 70;M;Sputnik;Privado;1;0;;0
2021-01-05;51 a 60;F;Sputnik;Publico nacional;15;0;;0
2021-01-05;51 a 60;M;Sputnik;Privado;5;0;;0
2021-01-05;51 a 60;M;Sputnik;Publico;71;0;;0
2021-01-05;51 a 60;M;Sputnik;Publico nacional;9;0;;0
2021-01-05;41 a 50;F;Sputnik;Privado;28;0;;0
2021-01-05;31 a 40;M;Sputnik;Publico nacional;10;0;;0
2021-01-05;61 a 70;M;Sputnik;Publico;1;0;;0
2021-01-05;51 a 60;F;Sputnik;Publico;114;0;;0
2021-01-05;61 a 70;F;Sputnik;Privado;1;0;;0
2021-01-05;51 a 60;F;Sputnik;Privado;9;0;;0
2021-01-05;30 o menos;M;Sputnik;Privado;14;0;;0
2021-01-05;31 a 40;F;Sputnik;Publico;158;0;;0
2021-01-05;31 a 40;F;Sputnik;Privado;56;0;;0
2021-01-05;30 o menos;M;Sputnik;Publico nacional;4;0;;0
2021-01-05;30 o menos;M;Sputnik;Publico;51;0;;0
2021-01-05;71 a 80;F;Sputnik;Privado;1;0;;0
2021-01-05;30 o menos;F;Sputnik;Publico nacional;16;0;;0
2021-01-05;30 o menos;F;Sputnik;Publico;83;0;;0
2021-01-05;30 o menos;F;Sputnik;Privado;29;0;;0
2021-01-05;31 a 40;F;Sputnik;Publico nacional;28;0;;0
2021-01-05;31 a 40;M;Sputnik;Privado;44;0;;0
2021-01-05;61 a 70;F;Sputnik;Publico;2;0;;0
2021-01-05;41 a 50;F;Sputnik;Publico;163;0;;0
2021-01-05;41 a 50;F;Sputnik;Publico nacional;26;0;;0
2021-01-05;41 a 50;M;Sputnik;Privado;14;0;;0
2021-01-05;41 a 50;M;Sputnik;Publico;94;0;;0
2021-01-05;41 a 50;M;Sputnik;Publico nacional;11;0;;0
2021-01-05;31 a 40;M;Sputnik;Publico;141;0;;0
2021-01-06;51 a 60;M;Sputnik;Privado;8;0;;0
2021-01-06;51 a 60;M;Sputnik;Publico nacional;5;0;;0
2021-01-06;61 a 70;F;Sputnik;Publico;1;0;;0
2021-01-06;61 a 70;M;Sputnik;Publico;1;0;;0
2021-01-06;51 a 60;M;Sputnik;Publico;73;0;;0
2021-01-06;30 o menos;F;Sputnik;Privado;23;0;;0
2021-01-06;30 o menos;F;Sputnik;Publico;113;0;;0
2021-01-06;30 o menos;F;Sputnik;Publico nacional;8;0;;0
2021-01-06;30 o menos;M;Sputnik;Privado;12;0;;0
2021-01-06;30 o menos;M;Sputnik;Publico;69;0;;0
2021-01-06;51 a 60;F;Sputnik;Publico;156;0;;0
2021-01-06;41 a 50;F;Sputnik;Privado;28;0;;0
2021-01-06;41 a 50;M;Sputnik;Publico;106;0;;0
2021-01-06;30 o menos;M;Sputnik;Publico nacional;9;0;;0
2021-01-06;31 a 40;M;Sputnik;Publico nacional;17;0;;0
2021-01-06;31 a 40;M;Sputnik;Publico;135;0;;0
2021-01-06;31 a 40;M;Sputnik;Privado;44;0;;0
2021-01-06;31 a 40;F;Sputnik;Publico nacional;14;0;;0
2021-01-06;31 a 40;F;Sputnik;Publico;176;0;;0
2021-01-06;41 a 50;M;Sputnik;Privado;27;0;;0
2021-01-06;31 a 40;F;Sputnik;Privado;42;0;;0
